Company Name, CSRD, CBAM
Aadi Bioscience Inc., NO, NO
African Agriculture Holdings Inc., NO, NO
American Airlines Group Inc., YES, YES
Atlantic American Corporation, NO, NO
Applied Optoelectronics Inc., NO, NO
AAON Inc., NO, NO
Apple Inc., YES, YES
American Battery Technology Company, NO, NO
Abeona Therapeutics Inc., NO, NO
Abacus Life Inc., NO, NO
Airbnb Inc., YES, NO
Acumen Pharmaceuticals Inc., NO, NO
Absci Corporation, NO, NO
ABVC BioPharma Inc., NO, NO
Atlantic Coastal Acquisition Corp. II, NO, NO
Acri Capital Acquisition Corporation, NO, NO
ACADIA Pharmaceuticals Inc., NO, NO
Accolade Inc., NO, NO
ProFrac Holding Corp., NO, NO
Adicet Bio Inc., NO, NO
Acadia Healthcare Company Inc., NO, NO
Achieve Life Sciences Inc., NO, NO
American Coastal Insurance Corporation, NO, NO
ACI Worldwide Inc., NO, NO
Axcelis Technologies Inc., NO, NO
Arcellx Inc., NO, NO
ACM Research Inc., NO, NO
ACNB Corporation, NO, NO
Ascent Industries Co., NO, NO
Aclarion Inc., NO, NO
Aclaris Therapeutics Inc., NO, NO
Acrivon Therapeutics Inc., NO, NO
Enact Holdings Inc., NO, NO
Acacia Research Corporation, NO, NO
Actuate Therapeutics Inc., NO, NO
ACV Auctions Inc., NO, NO
Acurx Pharmaceuticals Inc., NO, NO
Adobe Inc., YES, NO
Color Star Technology Co. Ltd., NO, NO
Adeia Inc., NO, NO
Adagio Medical Holdings Inc., NO, NO
Analog Devices Inc., YES, NO
Adial Pharmaceuticals Inc., NO, NO
ADMA Biologics Inc., NO, NO
Advent Technologies Holdings Inc., NO, NO
Automatic Data Processing Inc., YES, NO
Adaptive Biotechnologies Corporation, NO, NO
Autodesk Inc., YES, NO
ADTRAN Holdings Inc., NO, NO
Aditxt Inc., NO, NO
Addus HomeCare Corporation, NO, NO
Advantage Solutions Inc., NO, NO
Adverum Biotechnologies Inc., NO, NO
AltEnergy Acquisition Corp., NO, NO
Aehr Test Systems, NO, NO
Alset Inc., NO, NO
Advanced Energy Industries Inc., NO, NO
Aethlon Medical Inc., NO, NO
Alliance Entertainment Holding Corporation, NO, NO
American Electric Power Company Inc., YES, YES
Aeries Technology Inc., NO, NO
AudioEye Inc., NO, NO
Affinity Bancshares Inc., NO, NO
AFC Gamma Inc., NO, NO
Aimei Health Technology Co. Ltd., NO, NO
Affirm Holdings Inc., NO, NO
Allied Gaming & Entertainment Inc., NO, NO
